trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.02, 'e': 0.261845668580326}",30,4,-49.65715721014539,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.02, 'e': 0.2566607769535559}",20,10,2.769556611277718,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.25157855305975646}",35,15,21.79766017072736,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.24659696394160643}",20,0,-30.8760400240307,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
72,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,14,7.506698204663931,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23692775868212176}",30,21,14.635875198577759,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.23223627472975883}",20,6,14.718512379794472,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22763768838381274}",25,8,-27.954729917006475,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.02, 'e': 0.22313016014842982}",25,0,-35.14713000851084,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.02, 'e': 0.21871188695221475}",20,13,-0.3689597323336451,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,6,9.158332603728724,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.21013607120076472}",30,1,-23.469368595340978,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.20597509820488344}",25,0,1.5845634196228977,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.02, 'e': 0.20189651799465538}",30,20,10.984172331945011,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19789869908361465}",30,20,16.509993322250573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,8,20.085913167952008,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
